NFO_CODE,NSE_CODE,EXCHANGE
NIFTY,NSE:NIFTY 50,NSE
BANKNIFTY,NSE:NIFTY BANK,NSE
AARTIIND,NSE:AARTIIND,NSE
ABBOTINDIA,NSE:ABBOTINDIA,NSE
ABCAPITAL,NSE:ABCAPITAL,NSE
ABFRL,NSE:ABFRL,NSE
ACC,NSE:ACC,NSE
ADANIENT,NSE:ADANIENT,NSE
ADANIPORTS,NSE:ADANIPORTS,NSE
ALKEM,NSE:ALKEM,NSE
AMARAJABAT,NSE:AMARAJABAT,NSE
AMBUJACEM,NSE:AMBUJACEM,NSE
APLLTD,NSE:APLLTD,NSE
APOLLOHOSP,NSE:APOLLOHOSP,NSE
APOLLOTYRE,NSE:APOLLOTYRE,NSE
ASHOKLEY,NSE:ASHOKLEY,NSE
ASIANPAINT,NSE:ASIANPAINT,NSE
ASTRAL,NSE:ASTRAL,NSE
ATUL,NSE:ATUL,NSE
AUBANK,NSE:AUBANK,NSE
AUROPHARMA,NSE:AUROPHARMA,NSE
AXISBANK,NSE:AXISBANK,NSE
BAJAJ-AUTO,NSE:BAJAJ-AUTO,NSE
BAJAJFINSV,NSE:BAJAJFINSV,NSE
BAJFINANCE,NSE:BAJFINANCE,NSE
BALKRISIND,NSE:BALKRISIND,NSE
BALRAMCHIN,NSE:BALRAMCHIN,NSE
BANDHANBNK,NSE:BANDHANBNK,NSE
BANKBARODA,NSE:BANKBARODA,NSE
BATAINDIA,NSE:BATAINDIA,NSE
BEL,NSE:BEL,NSE
BERGEPAINT,NSE:BERGEPAINT,NSE
BHARATFORG,NSE:BHARATFORG,NSE
BHARTIARTL,NSE:BHARTIARTL,NSE
BHEL,NSE:BHEL,NSE
BIOCON,NSE:BIOCON,NSE
BOSCHLTD,NSE:BOSCHLTD,NSE
BPCL,NSE:BPCL,NSE
BRITANNIA,NSE:BRITANNIA,NSE
BSOFT,NSE:BSOFT,NSE
CADILAHC,NSE:CADILAHC,NSE
CANBK,NSE:CANBK,NSE
CANFINHOME,NSE:CANFINHOME,NSE
CHAMBLFERT,NSE:CHAMBLFERT,NSE
CHOLAFIN,NSE:CHOLAFIN,NSE
CIPLA,NSE:CIPLA,NSE
COALINDIA,NSE:COALINDIA,NSE
